Position,,Size,,Object,Coords
21,34,27,29,A,"21,34,48,63"
47,37,27,29,a,"47,37,74,66"
68,29,133,113,apple,"68,29,201,142"
237,34,20,33,B,"237,34,257,67"
257,33,20,33,b,"257,33,277,66"
288,21,131,130,bird,"288,21,419,151"
442,33,26,30,C,"442,33,468,63"
468,43,17,22,c,"468,43,485,65"
500,24,130,126,cup,"500,24,630,150"
658,33,24,34,D,"658,33,682,67"
683,33,24,34,d,"683,33,707,67"
730,25,92,124,dish,"730,25,822,149"
870,33,18,32,E,"870,33,888,65"
889,34,21,32,e,"889,34,910,66"
920,34,128,114,egg,"920,34,1048,148"
24,167,21,32,F,"24,167,45,199"
44,168,21,32,f,"44,168,65,200"
82,158,107,131,fish,"82,158,189,289"
234,167,24,39,G,"234,167,258,206"
257,170,24,39,g,"257,170,281,209"
297,157,112,132,girl,"297,157,409,289"
447,169,24,31,H,"447,169,471,200"
473,168,18,31,h,"473,168,491,199"
501,158,129,129,hand,"501,158,630,287"
657,171,18,26,I,"657,171,675,197"
676,171,11,27,i,"676,171,687,198"
712,162,81,120,in,"712,162,793,282"
868,170,21,30,J,"868,170,889,200"
891,170,16,37,j,"891,170,907,207"
946,158,88,130,jump,"946,158,1034,288"
25,305,20,29,K,"25,305,45,334"
46,304,18,30,k,"46,304,64,334"
72,296,96,122,kick,"72,296,168,418"
233,301,20,32,L,"233,301,253,333"
254,303,15,31,l,"254,303,269,334"
315,292,55,131,leg,"315,292,370,423"
445,304,30,30,M,"445,304,475,334"
476,310,28,24,m,"476,310,504,334"
507,298,130,124,man,"507,298,637,422"
657,304,25,30,N,"657,304,682,334"
684,311,19,23,n,"684,311,703,334"
714,294,125,125,neck,"714,294,839,419"
867,303,27,34,O,"867,303,894,337"
895,311,21,22,o,"895,311,916,333"
922,294,124,130,olive,"922,294,1046,424"
23,440,18,29,P,"23,440,41,469"
42,445,17,34,p,"42,445,59,479"
88,429,72,129,pan,"88,429,160,558"
233,438,30,39,Q,"233,438,263,477"
264,445,19,32,q,"264,445,283,477"
301,429,119,128,quarter,"301,429,420,557"
446,440,21,29,R,"446,440,467,469"
468,447,17,23,r,"468,447,485,470"
526,427,91,129,river,"526,427,617,556"
657,440,23,30,S,"657,440,680,470"
681,447,15,23,s,"681,447,696,470"
712,438,129,118,snake,"712,438,841,556"
869,440,23,27,T,"869,440,892,467"
892,441,17,29,t,"892,441,909,470"
920,430,130,122,tent,"920,430,1050,552"
23,575,25,29,U,"23,575,48,604"
50,581,17,25,u,"50,581,67,606"
68,571,132,116,up,"68,571,200,687"
235,574,22,34,V,"235,574,257,608"
257,582,17,25,v,"257,582,274,607"
310,563,85,132,valley,"310,563,395,695"
446,575,34,29,W,"446,575,480,604"
482,583,22,22,w,"482,583,504,605"
505,567,135,122,woman,"505,567,640,689"
657,575,24,29,X,"657,575,681,604"
682,583,18,21,x,"682,583,700,604"
721,570,120,118,box,"721,570,841,688"
866,574,23,31,Y,"866,574,889,605"
890,583,20,32,y,"890,583,910,615"
939,565,102,130,yell,"939,565,1041,695"
23,710,24,29,Z,"23,710,47,739"
48,718,18,22,z,"48,718,66,740"
83,711,99,106,zipper,"83,711,182,817"
327,722,201,107,the,"327,722,528,829"
545,728,427,120,alphabet,"545,728,972,848"
